Date,Open,High,Low,Close,Adj Close,Volume
2011-05-19,1448.000000,1448.000000,1408.000000,1440.199951,1330.288452,2843
2011-05-20,1450.000000,1465.000000,1422.199951,1451.500000,1340.726196,2458
2011-05-23,1426.050049,1453.650024,1423.000000,1432.300049,1322.991821,1363
2011-05-24,1431.500000,1444.900024,1419.949951,1423.250000,1314.632324,710
2011-05-25,1422.949951,1439.900024,1402.000000,1432.000000,1322.714233,2045
2011-05-26,1445.000000,1445.599976,1410.000000,1419.949951,1311.584106,546
2011-05-27,1468.000000,1468.000000,1410.199951,1419.400024,1311.076050,484
2011-05-30,1410.050049,1440.000000,1410.050049,1428.099976,1319.112061,1097
2011-05-31,1430.000000,1455.000000,1427.550049,1431.500000,1322.252563,1279
2011-06-01,1440.000000,1444.300049,1425.000000,1432.699951,1323.361206,464
2011-06-02,1432.000000,1440.000000,1420.000000,1431.050049,1321.837036,1024
2011-06-03,1455.000000,1455.000000,1410.650024,1416.199951,1308.120239,1859
2011-06-06,1470.000000,1470.000000,1390.000000,1424.800049,1316.063843,2123
2011-06-07,1424.000000,1443.949951,1401.150024,1438.900024,1329.087891,92
2011-06-08,1450.000000,1470.000000,1411.000000,1457.800049,1346.545532,1113
2011-06-09,1426.050049,1458.000000,1426.050049,1440.250000,1330.335083,397
2011-06-10,1455.000000,1457.000000,1430.000000,1431.150024,1321.929321,692
2011-06-13,1430.500000,1445.000000,1425.000000,1439.849976,1329.965454,1117
2011-06-14,1432.199951,1457.849976,1432.199951,1450.650024,1339.941284,990
2011-06-15,1469.800049,1469.800049,1435.699951,1438.099976,1328.348999,372
2011-06-16,1437.000000,1505.000000,1411.050049,1435.449951,1325.901123,6296
2011-06-17,1465.000000,1465.000000,1427.449951,1429.949951,1320.820801,1436
2011-06-20,1427.449951,1456.949951,1382.000000,1430.650024,1321.467773,2154
2011-06-21,1459.900024,1473.500000,1420.099976,1459.599976,1348.208008,1313
2011-06-22,1470.000000,1480.000000,1430.000000,1430.650024,1321.467773,1020
2011-06-23,1430.000000,1468.949951,1422.050049,1438.150024,1328.395020,1444
2011-06-24,1470.000000,1470.000000,1431.000000,1453.449951,1342.527466,446
2011-06-27,1430.000000,1486.400024,1430.000000,1450.300049,1339.617920,622
2011-06-28,1460.000000,1480.000000,1450.199951,1460.449951,1348.993530,684
2011-06-29,1455.000000,1474.000000,1440.000000,1458.949951,1347.607666,950
2011-06-30,1461.000000,1495.000000,1460.000000,1482.150024,1369.037109,2907
2011-07-01,1485.900024,1495.000000,1468.000000,1475.599976,1362.987061,5699
2011-07-04,1441.250000,1504.949951,1441.250000,1473.849976,1361.370728,953
2011-07-05,1480.000000,1489.550049,1475.000000,1484.099976,1370.838623,292
2011-07-06,1435.000000,1496.000000,1435.000000,1479.750000,1366.820313,2053
2011-07-07,1474.000000,1525.000000,1474.000000,1504.199951,1389.404297,1623
2011-07-08,1476.050049,1521.000000,1476.050049,1488.250000,1374.671753,516
2011-07-11,1504.949951,1505.000000,1480.000000,1500.449951,1385.940430,668
2011-07-12,1504.949951,1504.949951,1460.000000,1488.099976,1374.533203,302
2011-07-13,1488.000000,1501.000000,1488.000000,1495.250000,1381.137695,625
2011-07-14,1522.000000,1524.949951,1431.500000,1502.150024,1387.511108,614
2011-07-15,1500.000000,1505.000000,1486.000000,1501.449951,1386.864258,432
2011-07-18,1504.949951,1510.000000,1484.000000,1487.900024,1374.348145,783
2011-07-19,1487.900024,1495.000000,1485.000000,1488.500000,1374.902710,3467
2011-07-20,1500.000000,1508.000000,1475.000000,1485.150024,1371.808472,1819
2011-07-21,1494.949951,1503.949951,1453.349976,1469.050049,1356.936768,875
2011-07-22,1495.000000,1495.000000,1465.199951,1477.599976,1364.834717,715
2011-07-25,1524.949951,1524.949951,1470.000000,1479.550049,1366.635498,310
2011-07-26,1489.900024,1489.949951,1469.349976,1473.500000,1361.047241,480
2011-07-27,1498.750000,1498.750000,1431.250000,1454.750000,1343.728271,1733
2011-07-28,1480.000000,1542.699951,1455.000000,1461.250000,1349.732056,3892
2011-07-29,1489.000000,1489.000000,1440.000000,1468.949951,1356.844604,1839
2011-08-01,1403.000000,1489.000000,1403.000000,1459.800049,1348.392944,1422
2011-08-02,1442.000000,1490.000000,1426.050049,1486.650024,1373.193726,2743
2011-08-03,1475.000000,1478.000000,1440.000000,1460.150024,1348.715820,1298
2011-08-04,1451.000000,1481.849976,1440.000000,1440.500000,1330.565918,583
2011-08-05,1403.000000,1466.500000,1403.000000,1454.300049,1343.312622,3284
2011-08-08,1454.300049,1484.500000,1389.000000,1470.199951,1357.999023,3048
