Date,Open,High,Low,Close,Adj Close,Volume
2011-02-21,1570.000000,1590.000000,1560.000000,1567.099976,1358.099487,384
2011-02-22,1550.000000,1570.000000,1550.000000,1560.300049,1352.206543,341
2011-02-23,1560.000000,1590.000000,1555.000000,1568.250000,1359.096191,420
2011-02-24,1550.099976,1688.800049,1506.250000,1522.900024,1319.794434,1897
2011-02-25,1523.000000,1569.900024,1511.000000,1563.199951,1354.719727,578
2011-02-28,1560.000000,1687.949951,1551.150024,1648.150024,1428.340210,3311
2011-03-01,1701.000000,1950.000000,1670.000000,1725.150024,1495.070801,2587
2011-03-03,1742.000000,1750.000000,1667.199951,1701.550049,1474.618286,6544
2011-03-04,1672.000000,1739.000000,1670.000000,1697.349976,1470.978271,340
2011-03-07,1690.000000,1709.000000,1680.250000,1686.599976,1461.662354,417
2011-03-08,1681.000000,1699.800049,1681.000000,1688.750000,1463.525635,436
2011-03-09,1690.050049,1700.000000,1646.000000,1653.449951,1432.933105,1349
2011-03-10,1653.449951,1830.000000,1653.449951,1786.699951,1548.411987,34912
2011-03-11,1800.000000,1820.000000,1736.000000,1804.000000,1563.404663,3991
2011-03-14,1766.199951,1795.000000,1750.000000,1772.800049,1536.365845,1307
2011-03-15,1741.300049,1775.000000,1741.300049,1760.099976,1525.359741,3233
2011-03-16,1737.000000,1779.500000,1721.000000,1763.099976,1527.959351,508
2011-03-17,1770.000000,1788.500000,1750.000000,1759.599976,1524.926147,748
2011-03-18,1726.500000,1779.949951,1726.000000,1767.000000,1531.339355,460
2011-03-21,1753.250000,1790.000000,1730.000000,1736.849976,1505.210327,551
2011-03-22,1732.000000,1760.000000,1731.250000,1747.349976,1514.310059,5975
2011-03-23,1750.000000,1868.000000,1740.000000,1775.949951,1539.095581,4319
2011-03-24,1810.900024,1810.900024,1760.199951,1787.750000,1549.321899,1794
2011-03-25,1792.000000,1819.900024,1770.199951,1783.199951,1545.378784,641
2011-03-28,1810.000000,1810.000000,1770.000000,1771.300049,1535.065552,891
2011-03-29,1771.000000,1810.000000,1765.000000,1801.699951,1561.411499,9580
2011-03-30,1798.000000,1842.000000,1785.050049,1805.599976,1564.791504,6047
2011-03-31,1805.000000,1925.000000,1761.000000,1805.099976,1564.358032,18352
2011-04-01,1900.000000,1914.000000,1857.150024,1885.250000,1633.818726,1945
2011-04-04,1894.000000,1908.500000,1828.050049,1865.599976,1616.789185,1649
2011-04-05,1902.000000,1908.000000,1852.000000,1882.599976,1631.522217,545
2011-04-06,1868.000000,1908.000000,1860.000000,1872.199951,1622.509155,1095
2011-04-07,1860.000000,1892.000000,1860.000000,1876.599976,1626.322388,510
2011-04-08,1868.099976,2125.899902,1868.000000,2008.349976,1740.501099,73047
2011-04-11,2010.000000,2017.699951,1915.000000,1939.400024,1680.746826,2994
2011-04-13,1935.000000,1951.000000,1862.599976,1914.449951,1659.124390,1358
2011-04-15,1935.000000,1957.000000,1871.900024,1949.099976,1689.153198,7649
2011-04-18,1939.000000,1965.000000,1922.000000,1957.550049,1696.476196,1748
2011-04-19,1960.000000,1980.000000,1920.150024,1951.750000,1691.449585,1434
2011-04-20,1970.000000,2010.000000,1944.000000,2004.699951,1737.337769,2492
2011-04-21,1981.599976,2005.000000,1980.000000,1998.599976,1732.051392,1681
2011-04-25,1965.099976,2020.000000,1965.099976,1994.050049,1728.108276,957
2011-04-26,1973.000000,1985.000000,1952.000000,1958.650024,1697.429565,761
2011-04-27,1962.000000,2014.000000,1950.000000,2003.849976,1736.601318,3926
2011-04-28,1981.099976,2000.000000,1941.099976,1951.849976,1691.536255,466
2011-04-29,1963.000000,2009.900024,1963.000000,2000.550049,1733.741455,1795
2011-05-02,2000.000000,2010.000000,1966.000000,2001.449951,1734.521118,3539
2011-05-03,2005.000000,2033.949951,1966.000000,1985.800049,1720.958740,2451
2011-05-04,1969.949951,2000.000000,1950.000000,1992.199951,1726.505127,11093
2011-05-05,1999.949951,2000.000000,1980.500000,1991.900024,1726.245117,11456
2011-05-06,1999.900024,2001.000000,1990.000000,2000.000000,1733.264771,799
2011-05-09,1962.000000,1985.000000,1952.400024,1970.750000,1707.915649,173
2011-05-10,1960.099976,2000.000000,1952.000000,1961.849976,1700.202759,412
